,median_operating_income,net_income,year,state,city,AVG(snfs_in_city)
0,14440065.0,4485949.0,2017,fl,gainesville,8.0
1,10897014.0,99700.0,2017,fl,ocala,9.0
2,-6584433.0,5963517.0,2017,fl,sarasota,23.0
3,43565196.0,-4762514.0,2017,fl,west palm beach,11.0
4,63901198.0,-3935948.0,2017,fl,saint petersburg,25.0
5,14369038.0,-1381714.0,2017,fl,pinellas park,3.0
6,-1087786.0,-600731.0,2017,ny,staatsburg,1.0
7,13155722.0,1580142.0,2017,ny,west seneca,1.0
8,6667403.0,337380.0,2017,ny,oswego,4.0
9,14444617.0,787617.0,2017,ny,north tonawanda,2.0
10,3061604.0,3087263.0,2017,ny,brookhaven,1.0
11,-4766301.0,-4603988.0,2017,ny,warwick,1.0
12,92194570.0,19489572.0,2017,ny,flushing,13.0
13,-20975901.0,-4251632.0,2017,fl,bradenton,11.0
14,2547692.0,-61969.0,2017,fl,bartow,2.0
15,46491881.0,-7103973.0,2017,fl,jacksonville,32.0
16,6126517.0,-5225055.0,2017,fl,venice,6.0
17,12617183.0,-1185587.0,2017,fl,clearwater,13.0
18,380027903.0,39755602.0,2017,ny,brooklyn,41.0
19,8238094.0,-3079441.0,2017,ny,medford,1.0
20,10246779.0,2371617.0,2017,fl,port saint lucie,6.0
21,5501050.0,1214014.0,2017,fl,estero,1.0
22,5092384.0,232959.0,2017,fl,live oak,3.0
23,15161614.0,260014.0,2017,fl,deland,7.0
24,1454513.0,-244140.0,2017,fl,arcadia,1.0
25,13664038.0,2954201.0,2017,ny,long beach,4.0
26,4303738.0,-912538.0,2017,ny,ogdensburg,2.0
27,6934570.0,113366.0,2017,ny,amsterdam,3.0
28,-3881637.0,1096558.0,2017,ny,new city,1.0
29,4245233.0,21493.0,2017,ny,smithtown,3.0
30,27727975.0,4635066.0,2017,ny,watertown,2.0
31,297283204.0,76841867.0,2017,ny,bronx,43.0
32,-12900607.0,-16012572.0,2017,ny,uniondale,2.0
